id;gum;es
9508;Chiwandѳgucha marѳppe, ñimuinetѳ chinetѳ chib mulla mѳrmѳwei, chinetѳ aleguiab pѳnrrѳmѳtѳ maray.;Háganlo todo sin murmuraciones ni discusiones,
9509;Inchawei ñim nai undaarailѳ, na ñimba pasrѳben, chu uratѳgucha mѳrѳb melabelѳ, na mѳi ñimba pasrѳmubene, katѳguchinguen mѳrѳb melabelѳbe, kaigyugurri wesruigwan ñim tѳga pѳnrraigu nѳrrѳrabig nѳrrѳranrrab marѳb ambay, kѳriibala, purѳ isuptѳ.;Por tanto, mis queridos hermanos, así como ustedes me han obedecido siempre, y no sólo cuando he estado entre ustedes, obedézcanme más ahora que estoy lejos. Hagan efectiva su propia salvación con profunda reverencia,
9510;Mu misaameratѳgucha Jesucristѳbe Señѳr tru Mayeelaim Bala Nѳ Ashib Pasrabig kѳn chib waminchain gúig kѳn, Tius Mѳskawan maya nuguen tab indig kѳnrrai.;y todos reconozcan que Jesucristo es Señor, para gloria de Dios Padre.
9511;Nѳbe trendѳ Tius kѳbendѳ, nѳ treeg kuagucha, Tiusba lataig kѳnrrab inchimuig kѳn, treeg kurmaptѳ elachimѳnrrab.;el cual: Aunque existía con el mismo ser de Dios, no se aferró a su igualdad con él,
9512;yandѳ mѳg lataitѳwei misra pasrѳwabe, nuig kurmab inchimѳtѳ, nѳasiitѳ chigucha gѳmíig lataig misra, maig taigwan mѳrѳbig kѳptѳ, kwamnegatig maig taigwan marig kѳn, trurrigu kurusyu mesraig kwamig.;se humilló a sí mismo, haciéndose obediente hasta la muerte, hasta la muerte en la cruz.
9513;Cristѳ Jesús maig isubig kѳbig kѳben, ñimgucha treetѳwei isubelѳ gѳmig kѳn:;Tengan unos con otros la manera de pensar propia de quien está unido a Cristo Jesús,
9514;Chiyutѳgucha ke nѳtѳ gѳnrrab inchimѳwei, purѳ nuig kѳmmѳrѳ inchib marѳb gѳnrrab gѳmѳwein gѳmig kѳn. Masken treeg kѳmѳtѳ, larrѳ tammayig, katѳganelane ñim lataitѳguen gѳmѳ, katѳguchinguen nѳrreelѳ gѳnmab asha tѳgagѳmig kѳn.;No hagan nada por rivalidad o por orgullo, sino con humildad, y que cada uno considere a los demás como mejores que él mismo.
9515;Inchawei ñim Cristѳinug kanbalatѳ pѳnrraikkurri kuñab purugumig tѳgagѳb, nui undag kѳbig chi isumig kaanrrai marѳbig tѳgagѳb, Espíritu Santѳgurri kanguelarrѳtѳ lincha bѳnrramig tѳgagѳb, ñim larrѳ tab inchibelѳ, trurrigu lastima ashibelѳ gѳmigwan ñim tѳgagѳb indig kѳbene,;Así que, si Cristo les ha dado el poder de animar, si el amor los impulsa a consolar a otros, si todos participan del mismo Espíritu, si tienen un corazón compasivo,
9516;Pѳs ñimune Cristѳgurri ѳyeekkatig tabig pѳnrrѳnrrai marѳppe, nun ka kѳrewatѳ bѳnrrѳnrrai marmѳtѳ, nuimburab chinetѳ nebuig melamig kѳnrraingucha marig kuig kѳn.;Pues por causa de Cristo, ustedes no sólo tienen el privilegio de creer en él, sino también de sufrir por él.
9517;Jesucristѳi srѳ wam tabig maig kѳben, trumay treeg amѳnamirre mas palan, na ñimun ashchab arri lata, ashchab arrumui lata, ñimbe masken kanbalatѳ ke tab pѳnrramisra, tru isubigwan Cristѳinuutѳ tѳga pasra bѳnrramig Tiuswei srѳ wam tabigweimburappe, ñimbe kanbalatѳ mayeelѳba ke kandѳ isub truba rruba marѳb gѳn dai wammѳrinrrabna gѳtan.;Solamente esto: procuren que su manera de vivir esté de acuerdo con el evangelio de Cristo. Así, lo mismo si voy a verlos que si no voy, quiero recibir noticias de que ustedes siguen firmes y muy unidos, luchando todos juntos por la fe del evangelio,
9518;Inchawei ѳyeeg kѳnrrab gúi ashabe, chiguen gѳmѳtѳ, ñimba unamuitamab isur, ñim mayeelѳba kѳrrѳmisrtrab, katѳguchinguen gatѳguchinguen nebua asamigwan ñim nebua ashib, isubigwan Jesucristѳinug pasra tѳgagúigwan kasrag tѳga bѳnrramig kѳnrrai.;Y como estoy convencido de esto, sé que me quedaré todavía con ustedes, para ayudarlos a seguir adelante y a tener más gozo en su fe.
9519;Inchendѳ na ѳsig basramibe gatѳguchinguen tab gѳnrrab gѳn ñimuimburappe.;pero, por otro lado, a causa de ustedes es más necesario que siga viviendo.
9520;Inchen na asru ѳsig uniibe, Tiuswei maramelѳyube tsabѳtѳ truba nѳrrѳ kѳnrrai maramdiig kѳnrrautan. Trube, ¿nabe mѳigwan merrarrawa pasramisrtrab gѳh? Pѳs mandѳguen gѳmѳtan.;Y si al seguir viviendo en este cuerpo, mi trabajo puede producir tanto fruto, entonces no sé qué escoger.
9521;Chiyugucha na chi kѳrig misrmѳ purayamuitamab isua basraig, treeg punrrab gúi, masken chi kullag isumѳtѳ, mѳi lata, chu urastѳgucha, Cristѳbe nai asru purѳ nuig marѳb tabig wamindig kѳnrrun, na ѳsig basrai lata, kabe na kwaimbala lata.;Pues espero firmemente que Dios no me dejará quedar mal, sino que, ahora como siempre, se mostrará públicamente en mí la grandeza de Cristo, tanto si sigo vivo como si muero.
9522;¡Inchendѳ chigúin gѳnrrautah! Ka isatѳ inchib Cristѳimburabigwan ka wamincha mѳri lata, kabe ciertѳn wamindi lata, pѳs mumaytѳgucha Cristѳiwan waminchib, kusrenanene, nane kasrag kѳtan. Incha nabe gatѳgucha kasraarabig kasraaramѳnrrun,;Pero ¿qué importa? De cualquier manera, con sinceridad o sin ella, anuncian a Cristo, y esto me causa alegría. Y todavía me alegraré más,
9523;Incha iilѳbe Cristѳimburab eshkab waminchippe, undaguelѳ isuar gua waminchibelѳ gѳn, Tiuswei tabig srѳ wamwan waminchib purѳmisrѳb pasrѳnrrai, nan pasrig kui asha.;Algunos anuncian a Cristo por amor, sabiendo que Dios me ha puesto aquí para defender el evangelio,
9524;Inchen nan treeg pasrѳnrrai keerikkurri, nai nunelѳbe, kerrigu lutauba, chigucha kullaaramѳ pѳnrramisra, Tiuswei wamwan chigucha chi kѳrmѳ waminchibelѳ gѳn.;Y al ver que estoy preso, la mayoría de los hermanos se han animado a anunciar el mensaje, sin miedo y con más confianza en el Señor.
9525;Nai nunelѳ, nan chi pub arrubiibe, Tiuswei tabig srѳ wamweimburappe masken purugubguen inchib arrin gúi, ñim wammѳra gѳnrrai inchar.;Hermanos, quiero que sepan que las cosas que a mí me han pasado han venido en realidad a ayudar al anuncio del evangelio.
9526;Chiwan mas tabig kui nebua ashibelѳ misra, kaig marig chigar chishelѳ ñibe ѳyeeg kalѳ mara basran dainab pѳnrramig chigar gѳnrrai, Jesucristѳ gatѳ arrub gwalѳm.;para que sepan escoger siempre lo mejor. Así podrán vivir una vida limpia, y avanzar sin tropiezos hasta el día en que Cristo vuelva,
9527;Inchawei Tiusbe asha basran, na ñimun mayeelan pesannamѳ, truba rruba isubig kuigwan Señѳr Jesucristѳi undag kѳbiitѳga.;Pues Dios sabe cuánta nostalgia siento de todos ustedes, con el tierno amor que me infunde Cristo Jesús.
9528;Nabe iigwan treegwein gѳnrrab gúi asha indig kѳn: ñimuinug tabig marѳb pѳlbasrѳbiibe Jesucristѳ arrum gwalѳmgatig ñimune newanelѳ gѳnrrai tamarѳb pasrѳnrrab gúi.;Estoy seguro de que Dios, que comenzó a hacer su buena obra en ustedes, la irá llevando a buen fin hasta el día en que Jesucristo regrese.
9529;Na ñimun isuimѳrig nai Tiuswan mayanguen ungwa, ungwa chib,;Cada vez que me acuerdo de ustedes doy gracias a mi Dios,
9530;Namui Tius Mѳskaweimba, Señѳr Jesucristѳimba tru ka yandѳ tab indigwanba, chi isumgaig tab gѳbigwanba ñim tѳgagѳnrrai inder.;Que Dios nuestro Padre y el Señor Jesucristo derramen su gracia y su paz sobre ustedes.
9531;Tiuswei tru ka yandѳ tab indiibe tru namui Señѳr Jesucristѳn undaaramigwane managucha patsѳnrraingaig undaarabelѳ mayeelѳba pasrѳnrrun.;que él dé su gracia a todos los que aman a nuestro Señor Jesucristo con amor inalterable.
9532;Tius Mѳskaweinukkurrimba, Señѳr Jesucristѳinukkurrimba tru ambugurri igurri tab gѳbig arrubigwan nunelan trannrrai inchar, undag kѳbig tru isubigwan Jesucristѳinuutѳ pasra tѳgagúigwanbañau.;Que Dios el Padre, y el Señor Jesucristo, les dé a los hermanos paz y amor, con fe,
9533;Trube, treeg kѳbene, Tíquicѳ, namui undaaraig nuneg, Señѳrwei maramigu chu uragucha tarѳmisrmѳ, chi maramelan nѳ asha marѳb megabiibe, na maig tsuigwanba, katѳ na chi marѳb megaigwanba, kerriguba ñimun eshkanrrab wam srua inrrun.;Tíquico, nuestro querido hermano y fiel ayudante en la obra del Señor, les llevará todas las noticias acerca de mí y de cómo me encuentro.
9534;Tiuswei Espíritu maig maringaruben, Tiusba waminday, chu urastѳgucha ñim mumay gѳben Tiusba waminchib, miab indiilѳyu. Isua ashiptѳ guy, Tiuswan purugurra cha miab, nui misaamerai mayeelayasig maikkucha pesannab gѳnrrab gѳmѳtѳ.Katѳ naimburabgucha Tiuswan purugurra chib miarrunrrigay, na ke waminchab inchen, tru na maig tamelan nan trannrrai, tru Tiuswei tabig srѳ wam sѳrig pasrabigwan nebua ashchai chigucha chi kѳrig kuin gѳmѳ, wamindamig kѳnrrai.;Oren también por mí, para que Dios me dé las palabras que debo decir, y para que pueda hablar con valor y dar así a conocer el designio secreto de Dios, contenido en el evangelio.
9535;Katѳ tru kaigyugurri wesraig kѳmig tѳgagúigwane chinchimѳnrrai turyu petsig kan tsandzѳn cascѳn lataig tѳga bѳnrray. Espíritu Santѳi espadane srua bѳnrray, truibe Tiuswei wamwan.;Que la salvación sea el casco que proteja su cabeza, y que la palabra de Dios sea la espada que les da el Espíritu Santo.
9536;Tiuswei tru tabig srѳ wam chi isumgaig tab gѳbigwane waminchab amrrab muniitѳ bѳnrramig, srѳbyu keetigwan lataitѳwei tѳga bѳnrray.;Estén siempre listos para salir a anunciar el mensaje de la paz.
9537;Inchawei ѳyeeg kѳbene, Tius chitѳga kwayanrrai traniilane truigwane kerrigu tѳga bѳnrray, kaig kwalѳm pubene, kullaaramѳ pѳnrramig kѳnrrai, incha yandѳ ѳyeegwan kerrigu chab mara pѳnrramisrikkurrimbe kѳrrѳnrrabgaig mur bѳnrrѳnrrab.;Por eso, tomen toda la armadura que Dios les ha dado, para que puedan resistir en el día malo y, después de haberse preparado bien, mantenerse firmes.
9538;Tius tru chitѳga kwayanrrai kerrigu traniilѳtѳga tamara pѳnrramisray, nugwaimandzig purѳ may guegѳrrѳsrkѳnrrab tamara pѳnsra gua kegѳrrѳsrkѳnrrab inchen, maig kuingucha kѳrmѳ kwayawa, truyu puraambub ambamig kѳnrrai.;Protéjanse con toda la armadura que Dios les ha dado, para que puedan estar firmes contra los engaños del diablo.
9539;Inchen ñim karub pera gѳbelѳbe ñimui karuig mѳrѳb melabelane ñimgurringucha tabig tѳgaguy yeegwane chigѳben martrumѳn chib, chinetѳ chimѳtѳ. Kaguende ñimbe ashibelѳ gѳn, tru nѳmun ashib karub pasrabig tru Señѳrtѳwei ñimun ashib pasrabiibe srѳmbalasrѳ wabig kui. Kaguende Tiusbe mѳigwane purѳmisrѳb, kandarѳtѳ inchimíig kѳn.;Y ustedes, amos, pórtense del mismo modo con sus siervos, sin amenazas. Recuerden que tanto ustedes como ellos están sujetos al Señor que está en el cielo, y que él no hace discriminaciones.
9540;Maramigwane ka palabinѳ inchib, mѳguelayasig marѳb pѳnrrermab isua marmѳtѳ, marѳppe, martrab isua Señѳrweyasig lataig maray.;Realicen su trabajo de buena gana, como un servicio al Señor y no a los hombres.
9541;Ñim, karuindiig melabelѳ, yu pirau ñimun karub pera gѳbelane mѳramig kѳn, kѳriibala, maig kѳbash inchimѳ, manrraugurri tabig isua, Cristѳn mѳrѳb melab lataitѳweingue.;Esclavos, obedezcan ustedes a los que aquí en la tierra son sus amos. Háganlo con respeto, temor y sinceridad de corazón, como si estuvieran sirviendo a Cristo.
9542;yu pirau purѳ tabig kasraatѳ tsumig kѳnrraimba, ѳsig kѳllirab tsumig kѳnrraimba. (Tru maig maramigwan martrai karua pѳnsrailѳyu iimerrig kѳn, tabig trannrrab misra kѳrrѳmisrigwan utamibañauibe.);para que seas feliz y vivas una larga vida en la tierra.
9543;Ñui usri mѳskawane maig kѳbash kѳmѳ, purѳ tab inchib tѳgagu,;El primer mandamiento que contiene una promesa es éste: Honra a tu padre y a tu madre,
9544;¡ѳyeebe mandѳ gúinguen mѳramgaig purѳ nuig kѳn! Inchendѳ iigwan waminchippe, Cristѳnba, nui iglesianba treeg kѳn cha waminchar.;Aquí se muestra cuán grande es el designio secreto de Dios. Y yo lo refiero a Cristo y a la iglesia.
9545;Inchawei treekkurri mѳѳbe usri mѳskawane elacha, sraimba kandѳ misrtrun. Incha tru pailѳbe kan asrtѳ gѳnrrun.;Por eso, el hombre dejará a su padre y a su madre para unirse a su esposa, y los dos serán como una sola persona.
9546;Kaguende mugucha nui asrwane managuen nѳasiitѳweimbe tsaliinchimѳn. Treeg kѳmѳtѳ, asr maig palai inchen mab muchib, maig kѳben gѳnrrain gѳmѳ ashib tѳgagѳn, Cristѳ iglesian ashib tѳgagѳb lataitѳweingue.;Porque nadie odia su propio cuerpo, sino que lo alimenta y lo cuida, como Cristo hace con la iglesia,
9547;tabig nuyasiitѳ tarѳmari misaamera gѳnrrai martrab, tru nui wamdѳga piu umbu ulsraitѳga pillmawa, chish mara,;Esto lo hizo para santificarla, purificándola con el baño del agua acompañado de la palabra
9548;Kelѳbe nѳmui sralane undaguelѳ gѳmig kѳn. Cristѳma nui iglesian undag kѳptѳ, nui ѳsig kuigwan nѳashib tranig kѳn,;Esposos, amen a sus esposas como Cristo amó a la iglesia y dio su vida por ella.
9549;Sralѳbe, kelѳ maig chiben treeg mѳrѳb melamig kѳn, Señѳrwan lataitѳweingue.;Las esposas deben estar sujetas a sus esposos como al Señor.
9550;Ñimbe kanikkurri kanikkurri lata mѳrѳb melamig kѳn, Cristѳn kѳriibala tѳgagúikkurri.;Estén sujetos los unos a los otros, por reverencia a Cristo.
9551;Ñimbe salmѳstѳga, himnѳstѳga, Tiusweimburabelan cantailѳtѳga kangurrin gangurri waminday. Ñimui manrraugurri newan isua cantab, Señѳrwan maya nuguen tabig kѳn chib waminchib.;Háblense unos a otros con salmos, himnos y cantos espirituales, y canten y alaben de todo corazón al Señor.
9552;Inchawei ñimbe ke chugúinguen mѳrmeelѳ gѳmѳtay. Treeg inchimѳtѳ, Señѳr nam chiwan martraim balai watashchab trunun nebua ashchab indamig kѳn.;No actúen tontamente, procuren entender cuál es la voluntad del Señor.
9553;Chigѳben tabig maramdiig pubene, treegwan ka purainrraindѳ ashatѳ bѳnrrѳmѳtay. Kaguende purѳ gaig kwalѳmmera gѳn.;Aprovechen bien este momento decisivo, porque los días son malos.
9554;Inchawei tab isuamѳra amѳnay ñim mandѳ amѳnamigwane. Kan chugúinguen mѳrmeelѳ lataig amѳñimѳtѳ, maig amѳnamigwan tab isuamѳra amѳñibelѳ guy.;Por lo tanto, cuiden mucho su comportamiento. No vivan neciamente, sino con sabiduría.
9555;Inchen tru chigurrimbunѳ kѳbigwan tѳryu pѳnsrѳbene, maig kuigwan tѳrgandѳ asamig kenamisran. Pѳs tru chiwandѳgucha maig kuigwan asha gѳmig kѳnrrai tѳrgandѳ kenamarѳbiibe tru tѳr gѳn.;pero cuando todas las cosas son puestas al descubierto por la luz, quedan en claro,
9556;Señѳrwan tab gúi wanrrai maramigwan, mumay maren tab gúi mѳrtashchab treegwan lab melamig kѳn.;Examinen siempre qué es lo que agrada al Señor.
9557;Kaguende tru tѳryugurri chi arrubiibe maya nuguen purѳ tab indiiba, sѳlgandѳ tabig mariiba, ciertѳniiba ѳyeeg kѳn.;pues la luz produce toda una cosecha de bondad, rectitud y verdad.
9558;Inchawei ñimbe treeg marѳbelѳba lincha tѳgatѳ marѳb gѳnrrab gѳmѳ.;No tengan ustedes, pues, ninguna parte con ellos.
9559;Chiweingucha chi purugunrrabgailѳ wamindiilѳtѳga mugѳben kegѳrrѳsrkainab gѳnrrab gѳmѳ, kaguende ѳyeekkurrindѳwei Tiuswei purѳ rrѳmbѳig namig kѳbiibe tru mѳrmѳ misaameraim bala arrubig kѳn.;Que nadie los engañe con palabras huecas, porque precisamente por estas cosas viene el terrible castigo de Dios sobre aquellos que no lo obedecen.
9560;Mѳrѳbguen mѳramgaig wamincha ashib pѳnrrѳmѳwei, chugúinguen mѳrmubendѳ wamincha mѳrmѳwei, trѳmbѳig wamindamgailan wamincha indza mѳrmѳwei indamig kѳn, treeg indamgailan maraashib pѳnrrѳmѳtѳ, masken ñimbe Tiuswan ungwa chib gѳmig kѳn.;No digan indecencias ni tonterías ni vulgaridades, porque estas cosas no convienen, más bien alaben a Dios.
9561;Amѳñippe, undag kѳbigwane tѳga amѳnay, Cristѳ namun maig undaguig kѳben treetѳwei. Nѳbe nѳashib namuyasig purѳbasramisra kwaig kѳn, kan animal gweecha purѳ may irrabzhig Tiuswan keta tranѳb lataig.;Traten a todos con amor, de la misma manera que Cristo nos amó y se entregó por nosotros, como ofrenda y sacrificio de olor agradable a Dios.
9562;Masken treeg inchibgunrriibe, ñimbe larrѳ tab inchibelѳ, lata lastima asiyabelѳ, Tius ñimun Cristѳgurri kaig marigwan ulѳ baymub pesannab lataitѳwei, kangurrin gangurri ñimgucha ulѳ bayiyab pѳnrrѳmumig kѳn.;Sean buenos y compasivos unos con otros, y perdónense mutuamente, como Dios los perdonó a ustedes en Cristo.
9563;Tiuswei Espíritu Santѳn isuim basrѳnrrai marmѳtay, tru kerrigu yandѳ newan kaigyugurri wesram kwalѳmweyasig truitѳga ñimbe Tiusweyelѳ gúi asamdiig kѳnrrai sellailѳ gѳn.;No hagan que se entristezca el Espíritu Santo de Dios, con el que ustedes han sido sellados para distinguirlos como propiedad de Dios el día en que él les dé la liberación definitiva.
9564;Nilaptiig kѳbiibe yandѳ mas nilѳmѳta. Masken treeg inchimѳtѳ, ñui tasiitѳga chigѳben tabig maramigwan mar, mѳikkѳben chi palai inchene, purugumig tѳgagѳnrrab.;El que robaba, deje de robar y póngase a trabajar, realizando un buen trabajo con sus manos para que tenga algo que dar a los necesitados.
9565;Katѳ nugwaimandzig ñimuinug kelulrrain gѳmѳwein guy.;No le den oportunidad al diablo.
9566;Ñimbe tru srѳig ѳsig kѳmigwan kewa bѳnrray, truibe Tius nѳ maig kѳben treetѳwein gѳnrrai marig kѳn, ciertѳn sѳlgandiitѳgaba, newan chishchig tabiitѳgaba.Inchawei ѳyeekkurri ñimbe isa wamindamigwane yandѳ elacha, masken ñim mѳitѳgucha ñimui mendaigwane isa gѳmѳ, sѳlwan wamindamig kѳn. Kaguende nambe mayeelѳba kangurrin gangurri kan asrtѳ guer.;Por lo tanto, ya no mientan más, sino diga cada uno la verdad a su prójimo, porque todos somos miembros de un mismo cuerpo.
9567;Ñimbe tru srѳig ѳsig kѳmigwan kewa bѳnrray, truibe Tius nѳ maig kѳben treetѳwein gѳnrrai marig kѳn, ciertѳn sѳlgandiitѳgaba, newan chishchig tabiitѳgaba.;y revestirse de la nueva naturaleza, creada a imagen de Dios y que se distingue por una vida recta y pura, basada en la verdad.
9568;Tru ñim merrabsrѳ Tiuswan ashmeelѳ gѳb uras marѳb tѳga amѳnaig kѳbigwane wegutsay, tru kѳllig ñim trendѳ kaigwan tѳga gallaig, chi tabig pummѳrѳ chull isubig purѳ rrѳmbѳig marѳg kѳbig trutѳ srua yaig, ñimui umbu kaig pasrabigwan,;Por eso, deben ustedes renunciar a su antigua manera de vivir y despojarse de lo que antes eran, ya que todo eso se ha corrompido, a causa de los deseos engañosos.
9569;Trune ñimbe Cristѳiwan kusreppe, ѳyeeg marѳbelѳ gѳmѳnrrab gusreeg kѳn.;Pero ustedes no conocieron a Cristo para vivir así,
9570;Yandѳ chi kѳrikkengar misrikkurrimbunѳbe, yandѳ kaig maramigwandѳ martrab guebambubelѳ gѳn, chigurrimbunѳ kѳsѳngѳnrraptiig marѳg kѳbig arrubigwan neguen gѳmuig marѳbig marѳb pѳnrrѳnrrab.;Se han endurecido y se han entregado al vicio, cometiendo sin freno toda clase de cosas impuras.
9571;Inchawei nabe iig ѳyeegwan ñimun eshkappe, marmѳ gѳmѳ, martrai karunrrab inchar Señѳrwei munchiyu: mѳimbe yandѳ amѳñippe, Tiuswan ashmeelѳ judíѳs kѳmѳ misaamera nѳm chiweingucha chi purugunrrabgaig isub amѳnailѳyu ñimgucha amѳñimѳtay cha.;Esto, pues, es lo que les digo y les encargo en el nombre del Señor: que ya no vivan más como los paganos, los cuales viven de acuerdo con sus equivocados criterios
9572;Masken treeg kѳmѳtѳ, tru newan ciertѳnigwan undag kѳbiitѳga waminchib, chiyutѳgucha nѳrrѳragun tru tur Cristѳinug nѳba kanbalatѳ.;Más bien, profesando la verdad en el amor, debemos crecer en todo hacia Cristo, que es la cabeza del cuerpo.
9573;Tru nam mayeelѳba tru isubigwan Jesucristѳinuutѳ pasra kanbalatѳ bѳnrramiguba, katѳ Tiuswei Nusrkawan tab nebua asamiguba nam kanbalatѳ bѳnrramigwan nebumnegatig martrab, kan mѳg ne nuraig lataig misrѳb, Cristѳ maig kѳben treeg misramnegatig nebumig kѳnrrai.;hasta que todos lleguemos a estar unidos por la fe y el conocimiento del Hijo de Dios, y alcancemos la edad adulta, que corresponde a la plena madurez de Cristo.
9574;Incha truig nѳtѳwei mѳilane nѳashib karua ѳriilѳ gѳnrrai marѳb, mѳilane Tius maig karuigwan eshkabelѳ gѳnrrai marѳb, mѳilane Tiuswei tabig srѳ wamwan truѳrѳ srua llirabelѳ gѳnrrai marѳb, mѳilane tru Cristѳn kѳrebelan tab ashib pera pѳnrrabelѳ gѳnrrai marѳb, katѳ kusrenanѳbelѳ gѳnrrai ѳyeeg pѳnsraig kѳn,;Y él mismo concedió a unos ser apóstoles y a otros profetas, a otros anunciar el evangelio y a otros ser pastores y maestros.
9575;Tru ѳyeeg: nebyaig kѳn cha trenchippe, ¿tru wallibirѳ umbugatig kѳrrebmerrig kѳrrayaig kѳn cha rrenchimuitarru?;¿Y qué quiere decir eso de que subió? Pues quiere decir que primero bajó a esta tierra.
9576;Inchendѳ namune kanun ganun Tiusweyasig chigѳben marѳbelѳ gѳnrrai keta tranig kѳn, Cristѳ pirisha keta tranig maig kѳben, treeg.;Pero cada uno de nosotros ha recibido los dones que Cristo le ha querido dar.
9577;Tius kandѳ, trurrigu mayeelai Mѳskai, nѳbe mayeelaim bala nѳ basrabig kѳb, mayeelainug trumѳrig nѳ basrab, mayeelainug pasrabiibe nѳtѳ gѳn.;hay un solo Dios y Padre de todos, que está sobre todos, actúa por medio de todos y está en todos. ,
9578;Señѳr kandѳ gѳb, tru isubigwan Jesucristѳinug pasra pѳnrramikkucha treetѳwei kandѳ gѳb, piu umbu ulsraikkucha treetѳwei kandѳ gѳb indan.;Hay un solo Señor, una sola fe, un solo bautismo,
9579;Espíritu Santѳinug newan kanbalatѳ pѳnrrѳnrrab indamigwan treeg pѳnrrѳnrrab inday, tru kanbalatѳ pѳnrramig ambugurri igurri tab gѳbiitѳga,;procuren mantener la unidad que proviene del Espíritu Santo, por medio de la paz que une a todos.
9580;Inchawei Señѳr Jesucristѳgurri tru kailan keeri yau na pasrabiibe, ñimun trenchinrrab inchar: Tius ñimun treeg amѳñinrraiwei wamiilѳ gúig kѳppe, maig amѳnamigwan trumay treeg amѳñirrunrrigay cha,;Por esto yo, que estoy preso por la causa del Señor, les ruego que se porten como deben hacerlo los que han sido llamados por Dios, como lo fueron ustedes.
9581;Inchen tru chiwandѳgucha nѳbe marѳppe, tru nam miaigwandѳ gѳmѳwei, kabe nam isuigwandѳ gѳmѳtѳ, ke uñcha gѳm tѳgagѳnrrai marѳb Tius, tru nui maramburab marѳb pasrabig maig kѳben namuinug treeg marѳb pasrabigwan,;Y ahora, gloria sea a Dios, que puede hacer muchísimo más de lo que nosotros pedimos o pensamos, gracias a su poder que actúa en nosotros.
9582;Jesucristѳi undag kѳbig maya nuig kuigwan ñim mayeelѳ nui misaameraba kanbalatѳ pѳnrramisra, tru Cristѳi undag kѳbiibe lendѳmay rreetѳwei, yammay rreetѳwei, palamay rreetѳwei, lendegѳrrab rreetѳwei nuigwan ñim tab chigúi mѳrtrai miar.;Y que así puedan comprender con todo el pueblo santo cuán ancho, largo, alto y profundo es el amor de Cristo.
9583;Tru nѳ chigurrimbunѳ nui tѳrguegwalmabig chi palѳmíig maya tѳgagúig, truig maig kѳben, truyugurri tru ñimui manrrau chishkandѳ mur basrѳnrrai, nui Espíritugurri maramburab mariitѳga martrai miar,;Pido al Padre que de su gloriosa riqueza les dé a ustedes, interiormente, poder y fuerza por medio del Espíritu de Dios,
9584;Inchawei nan ѳyeeg trѳmbѳig isumdiig puig megaigwan, trunun isuptѳ kullaaramѳrrunrrigay chinrrab inchar. Masken nan ѳyeeg puibe ñimuyasiibe maya nuguen tab gѳnrrain gѳn.;Por eso les ruego que no se desanimen a causa de lo que por ustedes estoy sufriendo, porque esto es más bien un honor para ustedes.
9585;Inchawei nambe chigucha katѳnrraingaig chi isumѳ nѳgurri Tiusweinug kemalamig tѳgaguer namui isubigwan Jesucristѳinuutѳ pasra tѳgagúikkurri.;Y en Cristo tenemos libertad para acercarnos a Dios, con la confianza que nos da nuestra fe en él.
9586;Iigwane tru iglesiagurri kerriguba mѳi ya asig kѳnrrai kenamartrab isua indig kuig kѳn, nui tru muguen nebua isumgaig purѳ nuig kusrebig kuigwan tru srѳmbalasrѳ nѳm asha garubelanba, katѳ mugucha manchinrraingaig karubelanba.;De esta manera ahora, por medio de la iglesia, todos los poderes y autoridades en el cielo podrán conocer la sabiduría de Dios, que se muestra en tan variadas formas.
9587;Nabe Tiuswei misaamerai utu tru chigucha gѳmѳ waachawan tru Cristѳi chine chine purѳ tabig, kan ѳyangatiitѳ gѳn damgaig Tiuswei tru tabig srѳ wamwan eshkab kusrenanѳb pasramig kѳnrrai pasrig kur, tru judíѳs kѳmѳ misaameran,;Yo soy menos que el más pequeño de todos los que pertenecen al pueblo santo, pero él me ha concedido este privilegio de anunciar a los no judíos la buena noticia de las incontables riquezas de Cristo.
9588;Iig, tru muguen asiimíig pasrabiibe, tru judíѳs kѳmѳ misaameragucha judíѳs misaameraba tѳgatѳ tru ketigwan utamig tѳgagѳb, tru asryutѳwei pѳnrramig kѳb, katѳ Jesucristѳinug tru trannrrab misra kѳrrѳmisrigwan tѳgatѳ utamig tѳgagѳb indamig truig kѳn, tru Tiuswei tabig srѳ wamgurri.;El designio secreto es éste: que por el evangelio Dios llama a todas las naciones a participar, en Cristo Jesús, de la misma herencia, del mismo cuerpo y de la misma promesa que el pueblo de Israel.
9589;Iibe tru mu asiimíig pasrabigwan nan ashchai Tius kenamarig truig kѳn, tru na ñimun landѳtiig pѳrѳbguen indig.;Por revelación he conocido el designio secreto de Dios, como ya les escribí brevemente.
9590;Inchawei ñim iig tru pѳrigwan ashabe, muguen asiimíig pasrabig Cristѳiwan, ѳyeeg chigúi mѳramgailan nabe nebua ashibig kuin gúi ñimbe wetѳgѳrrѳnrrabguen.;Al leerlo, pueden darse cuenta de que conozco este designio secreto realizado en Cristo,
9591;Pѳs ñimbe manawei wammѳraguen gúinrrun, Tius ka yandѳ purѳ tab inchibig kѳptѳ ñimuyasig tab gѳnrrai nan iigwan martrai pasrigwan.;Pues ya sin duda sabrán que Dios me ha encargado anunciar a ustedes lo que él, en su bondad, ha dispuesto.
